,article_id,product_type_no,graphical_appearance_no,colour_group_code,perceived_colour_value_id,perceived_colour_master_id,index_group_no,section_no,garment_group_no,cluster,img_name
71865,765773004,253,1010016,51,1,4,1,11,1010,43,076/0765773004.jpg
72018,766402021,272,1010004,12,1,11,3,20,1009,67,076/0766402021.jpg
55605,711074007,274,1010016,8,4,12,4,47,1025,235,071/0711074007.jpg
38657,658453001,272,1010023,71,1,2,4,46,1016,35,065/0658453001.jpg
81618,806135004,265,1010001,10,3,9,4,76,1005,58,080/0806135004.jpg
103458,912100001,265,1010001,9,4,5,1,11,1005,68,091/0912100001.jpg
83785,813410001,264,1010016,43,4,18,4,48,1023,82,081/0813410001.jpg
10020,537895001,252,1010016,9,4,5,2,53,1003,187,053/0537895001.jpg
4181,478646003,77,1010016,31,3,3,1,66,1019,169,047/0478646003.jpg
52319,701016012,255,1010001,9,4,5,2,53,1005,159,070/0701016012.jpg
73512,772193001,70,1010016,5,5,15,1,66,1019,36,077/0772193001.jpg
74189,775579005,272,1010016,93,4,20,3,55,1005,134,077/0775579005.jpg
19427,584043003,89,1010016,73,4,2,4,42,1020,102,058/0584043003.jpg
58410,719697002,265,1010016,52,5,4,4,76,1014,33,071/0719697002.jpg
81158,804742002,252,1010008,9,4,5,4,77,1005,15,080/0804742002.jpg
16740,571169001,265,1010016,9,4,5,2,53,1013,354,057/0571169001.jpg
10016,537840001,275,1010026,9,4,5,2,53,1012,354,053/0537840001.jpg
11397,547525002,272,1010001,92,2,20,1,18,1009,321,054/0547525002.jpg
12857,555099001,272,1010016,9,4,5,1,2,1009,274,055/0555099001.jpg
25461,612988002,306,1010016,9,4,5,1,61,1017,137,061/0612988002.jpg
48570,692679001,70,1010016,3,3,15,1,66,1019,231,069/0692679001.jpg
102775,906449004,275,1010001,82,1,7,1,18,1009,118,090/0906449004.jpg
33573,639270003,272,1010026,93,4,19,4,47,1009,273,063/0639270003.jpg
77466,789629003,272,1010016,42,5,18,1,2,1009,369,078/0789629003.jpg
84462,815736002,87,1010016,9,4,5,4,42,1020,205,081/0815736002.jpg
40079,663472002,265,1010001,73,2,2,2,50,1013,208,066/0663472002.jpg
104285,921031002,265,1010023,73,2,2,1,6,1013,220,092/0921031002.jpg
15421,566942002,59,1010016,9,4,5,3,26,1018,98,056/0566942002.jpg
64653,742328002,254,1010001,10,3,9,4,77,1005,197,074/0742328002.jpg
19367,583787008,253,1010001,61,3,4,4,76,1005,300,058/0583787008.jpg
96875,872000001,253,1010016,9,4,5,2,53,1010,116,087/0872000001.jpg
100022,888014004,94,1010001,12,1,11,4,42,1020,240,088/0888014004.jpg
30242,627360003,264,1010016,51,3,4,1,18,1008,294,062/0627360003.jpg
37060,652377021,297,1010001,72,5,2,4,72,1017,33,065/0652377021.jpg
94207,861442003,298,1010001,13,2,11,1,60,1018,153,086/0861442003.jpg
86667,824628002,255,1010001,10,3,9,4,76,1005,58,082/0824628002.jpg
71236,763275001,255,1010016,10,3,9,3,26,1002,104,076/0763275001.jpg
80342,801796005,273,1010001,8,4,12,4,44,1002,278,080/0801796005.jpg
62696,737022007,267,1010001,12,1,9,4,44,1006,141,073/0737022007.jpg
10468,541308016,308,1010014,10,3,9,4,72,1002,92,054/0541308016.jpg
37471,653750001,265,1010010,8,2,12,1,8,1003,336,065/0653750001.jpg
70939,762173012,308,1010016,32,5,3,3,31,1007,395,076/0762173012.jpg
22017,596472001,273,1010016,9,4,5,1,15,1009,274,059/0596472001.jpg
67533,751471031,272,1010016,14,4,11,1,15,1009,75,075/0751471031.jpg
29148,624674012,252,1010022,7,1,12,4,41,1003,233,062/0624674012.jpg
70722,761501004,272,1010010,43,4,18,3,23,1009,6,076/0761501004.jpg
51232,698440001,274,1010016,73,4,2,4,47,1025,183,069/0698440001.jpg
51312,698722002,94,1010006,51,1,4,4,42,1020,37,069/0698722002.jpg
10348,540382011,255,1010016,51,3,4,4,79,1002,300,054/0540382011.jpg
91757,851010006,286,1010016,10,3,9,1,61,1017,40,085/0851010006.jpg
45048,682068004,272,1010016,11,1,9,2,53,1009,2,068/0682068004.jpg
17013,572533020,308,1010010,6,1,12,2,51,1002,378,057/0572533020.jpg
62688,737002002,265,1010016,14,2,13,1,62,1017,202,073/0737002002.jpg
64067,740369002,75,1010016,52,2,4,4,45,1019,144,074/0740369002.jpg
56324,713824006,286,1010017,73,4,2,4,72,1017,33,071/0713824006.jpg
48535,692401003,308,1010002,73,4,2,4,47,1005,190,069/0692401003.jpg
38264,657133001,73,1010016,50,5,4,4,43,1019,343,065/0657133001.jpg
97482,874493001,265,1010016,9,4,5,1,2,1005,68,087/0874493001.jpg
4408,483373005,255,1010001,92,7,19,1,8,1005,128,048/0483373005.jpg
37691,654564004,306,1010016,51,1,4,1,61,1017,342,065/0654564004.jpg
98991,881831002,274,1010016,13,1,1,2,70,1009,86,088/0881831002.jpg
97938,876372004,265,1010004,42,7,18,4,40,1006,320,087/0876372004.jpg
28346,622878015,308,1010005,93,4,19,4,47,1005,24,062/0622878015.jpg
11221,546562001,275,1010016,9,4,5,1,15,1012,52,054/0546562001.jpg
79016,796322004,262,1010016,19,2,20,2,50,1001,335,079/0796322004.jpg
61605,733749004,253,1010016,19,2,20,2,51,1002,335,073/0733749004.jpg
82618,809211001,77,1010016,5,5,15,1,66,1019,36,080/0809211001.jpg
10140,538993001,272,1010016,19,4,20,1,6,1009,271,053/0538993001.jpg
39253,660684001,262,1010016,7,1,12,4,45,1007,2,066/0660684001.jpg
45108,682236009,66,1010016,6,1,12,2,52,1019,139,068/0682236009.jpg
16990,572402001,308,1010016,9,4,5,2,51,1002,187,057/0572402001.jpg
34258,641008017,258,1010016,42,7,18,4,77,1014,140,064/0641008017.jpg
85099,818015001,161,1010016,51,1,4,4,43,1019,242,081/0818015001.jpg
67307,750480002,270,1010001,10,3,9,4,44,1005,76,075/0750480002.jpg
101019,893651001,70,1010016,5,5,15,1,66,1019,348,089/0893651001.jpg
95165,865658001,253,1010016,9,4,5,2,53,1003,62,086/0865658001.jpg
47071,687635021,274,1010016,10,3,9,3,26,1002,104,068/0687635021.jpg
9612,534164035,253,1010017,31,1,3,1,8,1005,214,053/0534164035.jpg
22700,599718044,274,1010016,81,1,2,1,6,1025,272,059/0599718044.jpg
14326,562325004,75,1010001,9,4,5,4,45,1019,98,056/0562325004.jpg
98914,881448002,258,1010021,22,1,8,1,18,1010,168,088/0881448002.jpg
9867,536946001,252,1010001,9,4,5,2,53,1003,187,053/0536946001.jpg
40517,664855002,270,1010023,73,2,2,4,44,1005,283,066/0664855002.jpg
85007,817491006,265,1010016,19,4,20,1,15,1013,6,081/0817491006.jpg
100285,889477002,308,1010005,7,1,12,4,47,1005,71,088/0889477002.jpg
84355,815446009,69,1010001,10,3,9,4,44,1019,255,081/0815446009.jpg
82172,807642003,262,1010023,71,1,2,4,76,1016,99,080/0807642003.jpg
82065,807241056,302,1010001,13,1,11,1,62,1021,202,080/0807241056.jpg
44218,679494004,252,1010005,73,4,2,3,21,1005,381,067/0679494004.jpg
98705,880485002,263,1010010,8,4,5,3,31,1007,22,088/0880485002.jpg
5695,498741005,254,1010010,50,5,4,26,49,1001,109,049/0498741005.jpg
73353,771659001,78,1010016,52,5,4,4,43,1019,371,077/0771659001.jpg
103331,910954001,70,1010016,5,5,15,1,66,1019,348,091/0910954001.jpg
25125,611503016,255,1010016,42,7,18,4,72,1002,18,061/0611503016.jpg
43448,677076001,258,1010001,9,4,5,2,53,1010,227,067/0677076001.jpg
85238,818694001,297,1010004,73,4,2,3,26,1017,105,081/0818694001.jpg
31710,633136005,308,1010014,51,7,4,2,53,1005,38,063/0633136005.jpg
54153,706698001,265,1010001,10,3,9,2,50,1001,328,070/0706698001.jpg
33206,637673006,252,1010016,43,4,18,1,15,1003,319,063/0637673006.jpg
17000,572480006,254,1010016,10,3,9,2,51,1002,10,057/0572480006.jpg
70711,761418001,296,1010001,51,1,4,1,62,1017,166,076/0761418001.jpg
45438,683267005,78,1010001,51,1,4,2,52,1019,37,068/0683267005.jpg
41126,667300001,74,1010016,42,7,18,2,52,1019,77,066/0667300001.jpg
29044,624543022,286,1010012,71,3,2,4,79,1017,332,062/0624543022.jpg
68192,753437003,276,1010016,51,1,4,4,40,1007,314,075/0753437003.jpg
79849,799383002,272,1010016,73,4,2,4,46,1009,160,079/0799383002.jpg
5744,499368015,302,1010001,9,4,5,4,72,1021,95,049/0499368015.jpg
62146,735412005,270,1010001,7,1,12,4,44,1002,141,073/0735412005.jpg
46875,687034024,298,1010016,42,2,4,1,60,1018,166,068/0687034024.jpg
65765,745476003,272,1010016,9,4,5,4,77,1009,245,074/0745476003.jpg
100484,890498002,262,1010016,19,2,20,2,53,1007,335,089/0890498002.jpg
75411,781506001,76,1010004,10,3,9,4,44,1019,255,078/0781506001.jpg
71930,766097001,252,1010016,82,1,7,4,44,1006,234,076/0766097001.jpg
197,189691067,252,1010010,31,1,3,2,51,1002,89,018/0189691067.jpg
101581,897736001,265,1010007,22,1,8,2,50,1001,71,089/0897736001.jpg
75572,782067001,87,1010016,9,4,5,1,64,1020,188,078/0782067001.jpg
75989,783490001,274,1010023,73,2,2,4,47,1016,91,078/0783490001.jpg
83590,812608001,302,1010016,9,4,5,4,44,1021,155,081/0812608001.jpg
72841,769102010,295,1010001,51,1,4,4,44,1017,166,076/0769102010.jpg
11094,545449024,308,1010010,19,4,20,4,72,1002,56,054/0545449024.jpg
61444,733203003,94,1010016,73,4,2,4,42,1020,12,073/0733203003.jpg
96291,869830001,272,1010016,73,4,2,4,46,1009,160,086/0869830001.jpg
38985,659808026,307,1010016,51,1,4,4,79,1017,20,065/0659808026.jpg
18630,579692005,252,1010016,72,2,2,2,50,1005,70,057/0579692005.jpg
15347,566556005,272,1010016,73,4,2,4,47,1009,11,056/0566556005.jpg
38330,657225001,252,1010026,12,1,9,3,21,1003,73,065/0657225001.jpg
33523,639132003,258,1010001,42,5,18,1,18,1010,177,063/0639132003.jpg
22359,598320001,262,1010016,72,2,2,4,77,1016,333,059/0598320001.jpg
49155,694131018,255,1010008,81,1,7,4,77,1005,180,069/0694131018.jpg
54583,708138024,264,1010026,8,4,12,1,11,1008,130,070/0708138024.jpg
50946,697831006,274,1010016,93,2,19,4,47,1025,249,069/0697831006.jpg
910,301656028,265,1010023,72,2,2,2,57,1016,260,030/0301656028.jpg
52772,702213003,94,1010001,73,4,2,4,42,1020,12,070/0702213003.jpg
56847,715158001,252,1010021,9,4,5,2,53,1003,34,071/0715158001.jpg
85610,820471001,89,1010016,9,4,5,4,42,1020,205,082/0820471001.jpg
89695,839482005,272,1010016,73,2,7,1,14,1001,173,083/0839482005.jpg
19356,583785007,274,1010001,6,1,12,4,76,1005,372,058/0583785007.jpg
90471,843465010,272,1010004,17,4,13,3,20,1009,366,084/0843465010.jpg
14543,563428001,299,1010001,50,5,4,4,43,1018,184,056/0563428001.jpg
31105,630915001,265,1010016,9,4,5,4,77,1005,115,063/0630915001.jpg
39943,663137002,272,1010023,73,2,2,4,77,1016,333,066/0663137002.jpg
88237,832166001,275,1010016,9,4,5,1,11,1012,358,083/0832166001.jpg
17543,574500001,259,1010004,72,7,2,4,46,1011,284,057/0574500001.jpg
64076,740376005,75,1010016,73,4,2,4,45,1019,12,074/0740376005.jpg
50401,696788001,70,1010016,3,3,15,2,52,1019,231,069/0696788001.jpg
86623,824498001,273,1010001,12,1,9,4,40,1005,71,082/0824498001.jpg
2932,442915007,272,1010010,7,1,12,1,8,1005,114,044/0442915007.jpg
41243,667772005,252,1010022,93,4,19,3,24,1001,129,066/0667772005.jpg
83871,813775001,270,1010005,9,4,5,4,41,1005,100,081/0813775001.jpg
45871,684673001,252,1010016,31,1,3,2,53,1003,101,068/0684673001.jpg
78850,795836003,259,1010016,92,1,19,3,21,1011,148,079/0795836003.jpg
103938,917288002,254,1010010,7,2,12,1,8,1005,168,091/0917288002.jpg
102693,905852001,252,1010016,9,4,5,2,53,1003,62,090/0905852001.jpg
97420,874169001,286,1010016,9,4,5,3,26,1017,155,087/0874169001.jpg
87080,825997002,252,1010008,22,7,8,4,47,1005,81,082/0825997002.jpg
81015,804292001,272,1010016,19,4,20,1,15,1009,276,080/0804292001.jpg
79335,797307003,272,1010017,19,2,20,4,77,1009,224,079/0797307003.jpg
3162,449570035,255,1010010,43,4,18,26,22,1005,7,044/0449570035.jpg
95164,865624007,274,1010016,92,1,20,2,53,1025,103,086/0865624007.jpg
23828,607159001,298,1010016,82,1,7,1,60,1018,35,060/0607159001.jpg
95519,866800011,73,1010009,5,7,15,1,66,1019,348,086/0866800011.jpg
38556,658021002,265,1010016,73,4,2,1,6,1013,324,065/0658021002.jpg
82454,808670001,92,1010016,9,4,5,1,64,1020,285,080/0808670001.jpg
25956,615303006,259,1010001,9,4,5,3,55,1011,227,061/0615303006.jpg
81288,805137001,259,1010016,10,3,9,3,23,1011,75,080/0805137001.jpg
15269,566313002,272,1010014,73,4,2,4,47,1005,11,056/0566313002.jpg
38141,656668001,257,1010020,8,4,12,3,20,1005,130,065/0656668001.jpg
28207,622231002,253,1010008,6,1,12,4,47,1005,233,062/0622231002.jpg
26651,617654002,257,1010016,73,4,2,4,41,1005,11,061/0617654002.jpg
55086,709178001,254,1010016,9,4,5,1,15,1005,230,070/0709178001.jpg
82203,807732001,272,1010016,9,4,5,1,82,1023,57,080/0807732001.jpg
59621,724253004,267,1010026,7,2,12,4,44,1006,237,072/0724253004.jpg
51558,699208001,254,1010006,73,4,2,1,8,1005,157,069/0699208001.jpg
61788,734229001,265,1010015,51,1,4,4,76,1014,325,073/0734229001.jpg
28361,622893001,258,1010007,10,3,9,2,50,1010,172,062/0622893001.jpg
12245,552471026,259,1010017,51,3,4,2,53,1010,170,055/0552471026.jpg
34671,643055002,267,1010016,11,1,9,1,14,1013,30,064/0643055002.jpg
1140,319811024,267,1010017,22,7,8,4,44,1002,262,031/0319811024.jpg
46874,687034023,298,1010016,42,5,18,1,60,1018,167,068/0687034023.jpg
9778,536139012,296,1010010,51,1,4,1,62,1017,342,053/0536139012.jpg
39104,660215001,68,1010016,9,4,5,3,25,1019,98,066/0660215001.jpg
13184,556677008,95,1010016,33,2,13,1,64,1020,210,055/0556677008.jpg
23893,607338002,252,1010001,73,4,2,4,76,1003,117,060/0607338002.jpg
54824,708459006,254,1010016,9,4,5,1,15,1005,230,070/0708459006.jpg
90576,843772004,286,1010016,9,4,5,1,61,1017,279,084/0843772004.jpg
36298,650181001,258,1010016,10,3,9,1,82,1023,315,065/0650181001.jpg
40584,665082022,78,1010001,17,4,13,1,66,1019,360,066/0665082022.jpg
16526,570003077,255,1010017,73,4,2,3,26,1002,386,057/0570003077.jpg
89440,838248003,265,1010001,51,1,4,4,40,1005,158,083/0838248003.jpg
67825,752404004,272,1010023,6,1,12,4,46,1016,44,075/0752404004.jpg
88378,832533001,273,1010001,9,4,5,1,8,1005,68,083/0832533001.jpg
12012,551080011,255,1010018,73,4,2,3,55,1005,11,055/0551080011.jpg
71269,763306005,286,1010001,22,5,8,4,72,1017,245,076/0763306005.jpg
61233,732658002,265,1010023,72,2,2,2,53,1013,208,073/0732658002.jpg
104855,928049004,265,1010016,83,2,19,1,18,1005,113,092/0928049004.jpg
100351,889714002,94,1010016,19,1,20,1,64,1020,351,088/0889714002.jpg
102700,905889001,87,1010016,9,4,5,1,64,1020,285,090/0905889001.jpg
43016,674913003,252,1010002,11,3,9,1,11,1003,239,067/0674913003.jpg
77655,790640002,75,1010022,51,1,4,4,44,1019,242,079/0790640002.jpg
3364,453272047,59,1010001,73,4,2,4,43,1018,182,045/0453272047.jpg
54508,707852002,78,1010009,51,3,4,4,43,1019,144,070/0707852002.jpg
71137,762913005,273,1010010,8,4,12,1,16,1002,130,076/0762913005.jpg
43440,677026001,259,1010017,72,7,2,4,46,1011,284,067/0677026001.jpg
95007,865086001,306,1010016,41,2,18,26,5,1005,305,086/0865086001.jpg
78705,795354003,252,1010016,73,4,2,3,26,1002,46,079/0795354003.jpg
77360,789147006,265,1010001,9,4,5,1,11,1013,358,078/0789147006.jpg
69185,756624001,265,1010016,9,4,5,2,50,1001,34,075/0756624001.jpg
17900,576708001,75,1010014,9,4,5,26,5,1019,124,057/0576708001.jpg
26776,618081002,268,1010004,73,4,2,4,41,1006,11,061/0618081002.jpg
82393,808552005,253,1010016,9,4,5,26,5,1005,236,080/0808552005.jpg
91130,846782001,286,1010016,91,1,19,1,61,1017,103,084/0846782001.jpg
78267,793193005,76,1010016,17,2,13,3,25,1019,72,079/0793193005.jpg
58521,720217002,275,1010024,71,1,2,4,76,1014,99,072/0720217002.jpg
3376,453309011,59,1010001,9,4,5,4,43,1018,175,045/0453309011.jpg
104484,923460002,275,1010001,72,7,6,1,15,1012,120,092/0923460002.jpg
70135,759581001,265,1010001,72,2,2,4,40,1006,283,075/0759581001.jpg
17978,577034004,306,1010016,9,4,5,1,61,1017,95,057/0577034004.jpg
217,198518010,307,1010016,9,4,5,4,79,1017,178,019/0198518010.jpg
59101,722174001,274,1010016,19,2,20,1,15,1009,221,072/0722174001.jpg
91589,850259001,258,1010001,10,3,-1,1,15,1010,318,085/0850259001.jpg
98573,879956001,258,1010016,51,1,4,2,53,1010,376,087/0879956001.jpg
22877,600643001,308,1010001,9,4,5,3,55,1005,64,060/0600643001.jpg
79329,797248001,274,1010016,8,4,5,26,5,1005,236,079/0797248001.jpg
36620,651336002,252,1010016,43,4,18,1,6,1005,319,065/0651336002.jpg
10710,542597001,262,1010016,31,1,3,2,50,1010,31,054/0542597001.jpg
17187,573152008,255,1010010,82,1,19,1,2,1005,321,057/0573152008.jpg
46457,685816050,255,1010016,21,3,8,3,26,1002,104,068/0685816050.jpg
68330,753959001,275,1010016,15,4,1,1,11,1012,358,075/0753959001.jpg
49739,695292004,272,1010001,50,5,4,26,49,1001,109,069/0695292004.jpg
17158,573085033,272,1010023,72,1,2,1,15,1009,389,057/0573085033.jpg
20342,588515011,274,1010016,14,2,11,4,47,1025,229,058/0588515011.jpg
41629,669807004,258,1010016,9,4,5,2,50,1010,227,066/0669807004.jpg
55017,708819002,302,1010014,61,3,6,2,51,1017,4,070/0708819002.jpg
48891,693485002,274,1010016,73,4,2,4,41,1006,190,069/0693485002.jpg
45459,683292001,259,1010017,71,3,2,3,23,1011,47,068/0683292001.jpg
54823,708459004,254,1010001,51,1,4,1,15,1005,259,070/0708459004.jpg
59008,721848001,265,1010017,73,4,2,1,8,1005,157,072/0721848001.jpg
795,293433046,304,1010016,10,3,9,4,79,1021,178,029/0293433046.jpg
72172,766919004,286,1010001,73,2,7,3,26,1017,4,076/0766919004.jpg
18176,577887003,286,1010016,42,7,18,1,61,1017,84,057/0577887003.jpg
2046,393993002,262,1010016,73,4,2,1,8,1010,287,039/0393993002.jpg
74881,778725001,255,1010016,73,4,2,4,79,1002,256,077/0778725001.jpg
40845,665725001,258,1010001,22,7,8,2,53,1010,51,066/0665725001.jpg
94673,863595005,245,1010010,14,4,11,1,15,1003,366,086/0863595005.jpg
9079,529012040,286,1010021,42,7,18,1,61,1017,84,052/0529012040.jpg
75899,783335003,255,1010001,9,4,5,26,22,1005,236,078/0783335003.jpg
31752,633153001,66,1010005,17,2,13,2,52,1019,88,063/0633153001.jpg
2602,416511021,272,1010016,71,3,2,2,53,1009,207,041/0416511021.jpg
32742,636323001,272,1010023,9,4,5,2,57,1016,137,063/0636323001.jpg
12098,551487003,75,1010016,8,2,12,4,44,1019,88,055/0551487003.jpg
79074,796543001,265,1010015,13,1,1,2,58,1013,350,079/0796543001.jpg
39868,662905001,252,1010010,9,4,12,1,15,1003,130,066/0662905001.jpg
10977,544739008,255,1010001,71,3,2,4,72,1002,54,054/0544739008.jpg
7885,517959026,286,1010001,51,3,4,4,79,1017,332,051/0517959026.jpg
23572,605970002,297,1010006,7,1,12,1,62,1017,131,060/0605970002.jpg
39105,660219001,75,1010016,51,1,4,4,44,1019,37,066/0660219001.jpg
59363,723206001,255,1010001,73,4,2,4,41,1005,74,072/0723206001.jpg
25036,611221009,254,1010021,19,4,20,1,15,1005,271,061/0611221009.jpg
33696,639528002,258,1010016,10,3,9,1,15,1010,152,063/0639528002.jpg
57966,718246001,272,1010026,8,4,12,4,41,1005,268,071/0718246001.jpg
97570,874934004,252,1010001,52,1,4,4,76,1003,79,087/0874934004.jpg
30234,627302003,265,1010001,62,1,6,2,53,1013,282,062/0627302003.jpg
48453,692002003,254,1010016,63,4,6,1,97,1001,300,069/0692002003.jpg
50441,696890003,259,1010026,73,4,2,3,24,1001,381,069/0696890003.jpg
74377,776743001,252,1010016,10,3,9,1,97,1001,339,077/0776743001.jpg
80681,802931001,258,1010007,9,4,5,2,50,1010,116,080/0802931001.jpg
9852,536720001,308,1010016,9,4,5,3,31,1007,64,053/0536720001.jpg
70097,759419002,265,1010016,31,1,3,1,97,1001,79,075/0759419002.jpg
34048,640399003,272,1010001,93,2,19,4,76,1009,355,064/0640399003.jpg
65566,744844001,302,1010016,9,4,5,2,51,1017,57,074/0744844001.jpg
4305,481696001,67,1010016,17,4,13,3,25,1019,222,048/0481696001.jpg
65485,744539001,258,1010001,10,3,9,4,40,1006,76,074/0744539001.jpg
30406,628426002,254,1010016,9,4,5,1,14,1013,52,062/0628426002.jpg
88475,832994002,298,1010016,9,4,5,1,60,1018,279,083/0832994002.jpg
22324,598084001,253,1010016,9,4,5,2,53,1010,227,059/0598084001.jpg
86673,824642002,255,1010002,12,1,11,4,41,1005,71,082/0824642002.jpg
90467,843465005,272,1010004,9,4,5,3,20,1009,22,084/0843465005.jpg
78712,795417003,254,1010016,9,4,5,1,2,1005,230,079/0795417003.jpg
17396,573716050,272,1010016,73,4,2,1,15,1009,324,057/0573716050.jpg
31163,631383001,90,1010016,9,4,5,1,64,1020,302,063/0631383001.jpg
26437,617080001,80,1010022,7,1,12,4,45,1019,139,061/0617080001.jpg
99087,882271001,265,1010016,9,4,5,2,50,1001,62,088/0882271001.jpg
79717,798889006,84,1010016,9,4,5,2,52,1019,205,079/0798889006.jpg
13309,557542001,252,1010004,9,4,5,3,28,1003,362,055/0557542001.jpg
72849,769102023,295,1010001,10,3,9,4,44,1017,243,076/0769102023.jpg
88229,832122002,86,1010016,9,4,5,1,64,1020,285,083/0832122002.jpg
48417,691855007,275,1010016,10,3,9,2,53,1012,172,069/0691855007.jpg
23503,605672008,265,1010001,73,4,2,2,53,1013,247,060/0605672008.jpg
55126,709264002,265,1010001,9,4,5,2,53,1013,291,070/0709264002.jpg
45486,683396004,259,1010016,71,3,2,3,23,1011,47,068/0683396004.jpg
76040,783652001,100,1010016,9,4,5,1,64,1020,188,078/0783652001.jpg
35472,646824002,308,1010014,73,4,2,4,76,1005,117,064/0646824002.jpg
85036,817735001,70,1010016,5,5,15,1,66,1019,36,081/0817735001.jpg
1039,312829007,80,1010020,9,4,5,1,65,1019,174,031/0312829007.jpg
67863,752514003,272,1010017,9,4,5,1,15,1009,327,075/0752514003.jpg
1790,377277031,253,1010016,72,5,2,2,51,1002,207,037/0377277031.jpg
21171,592743040,255,1010008,7,2,12,3,55,1005,378,059/0592743040.jpg
23289,604068003,297,1010008,19,2,20,4,72,1017,171,060/0604068003.jpg
92241,852860001,275,1010016,11,1,9,2,50,1009,293,085/0852860001.jpg
62463,736489005,94,1010016,3,3,15,1,64,1020,231,073/0736489005.jpg
50655,697058009,258,1010016,72,2,2,1,15,1010,110,069/0697058009.jpg
13697,559601003,59,1010001,10,3,9,1,60,1018,25,055/0559601003.jpg
74617,777583004,252,1010017,23,2,13,4,46,1003,237,077/0777583004.jpg
38758,658876001,265,1010022,31,1,3,1,14,1013,43,065/0658876001.jpg
84075,814586001,274,1010016,10,3,9,4,44,1002,201,081/0814586001.jpg
57150,715888001,70,1010016,42,5,18,1,66,1019,199,071/0715888001.jpg
83907,813991001,265,1010016,9,4,5,2,50,1001,62,081/0813991001.jpg
84149,814686003,245,1010016,12,1,11,2,53,1003,194,081/0814686003.jpg
17546,574500004,259,1010016,51,3,4,4,46,1011,170,057/0574500004.jpg
84436,815629001,270,1010017,8,4,12,4,44,1005,278,081/0815629001.jpg
13131,556539030,73,1010016,13,2,11,1,66,1019,210,055/0556539030.jpg
42560,673396014,67,1010001,93,4,19,1,65,1019,49,067/0673396014.jpg
63641,739659038,265,1010001,10,3,9,4,76,1005,197,073/0739659038.jpg
66439,747854001,262,1010016,9,4,5,26,22,1005,236,074/0747854001.jpg
28633,623765005,297,1010012,61,3,6,4,79,1017,332,062/0623765005.jpg
39789,662663003,286,1010016,63,4,6,1,61,1017,184,066/0662663003.jpg
68230,753641006,270,1010001,14,4,11,4,40,1005,268,075/0753641006.jpg
42837,674244014,255,1010017,9,4,5,4,79,1002,219,067/0674244014.jpg
102690,905811003,252,1010016,51,1,4,1,62,1017,232,090/0905811003.jpg
74870,778660003,273,1010016,51,1,4,4,40,1003,314,077/0778660003.jpg
